q,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,var_qi,i,Q,var_agg_i
0,36134646724.64621,35389877283.1384,34707124572.60303,34230715926.26482,33812161211.365486,33445163955.085266,33280611892.60636,33122334502.679825,33170250306.075073,33179608929.43481,33371058474.38717,33694572201.402206,34091681093.399525,34716704446.45434,35481631383.95679,36343208872.08228,0.00018537004262987136,2,10,0.00014435510342009037
1,35726387778.65939,35130590076.08568,34338316675.36061,34049119489.705605,33600569618.461292,33147030410.646748,33260397873.04324,33034397218.892097,33030940684.97051,33454178103.785366,33770937555.47278,34027897903.096245,34298323793.626003,34845993216.42587,35502326907.02877,36075392778.848755,0.00015613694270730954,2,10,0.00014435510342009037
2,35825920036.41578,35033688749.846596,34673032835.47324,34089844836.914738,33591103219.83945,33030115274.634426,32721556636.742405,33153018736.87562,32734303572.435852,33065549643.35652,33645419385.035213,34136788382.132744,34647816521.11678,35284881715.142876,35645957628.93061,36236370730.96086,0.00021277784900551768,2,10,0.00014435510342009037
3,37674977887.4803,36422573822.35558,35070671280.008316,34820067801.12951,34431166648.836845,33928061009.30349,33877113843.569374,33420218732.184063,33299236014.930397,33878247612.374825,34015461895.07283,33164994866.602673,33243740089.027653,33298105895.49112,34199058787.442924,34643710959.522446,0.00022996757388254186,2,10,0.00014435510342009037
4,38651078000.517715,35888118020.30229,35067188365.992355,34364566434.86376,33005615190.990696,33017303048.44528,33225718622.131763,32801876417.621788,33308872285.421017,33922232882.360794,32644302493.138588,33188002428.301647,33619500248.415257,34270083964.815784,34820672904.703186,36024627293.66903,0.0003794312623190776,2,10,0.00014435510342009037
5,39008866380.276535,36814385923.11459,34828498503.24154,34516392892.291435,34305679930.25308,33133254433.463684,32580882210.119766,32743646564.41162,31549190038.031975,32779024156.042465,33593009591.056183,33542522202.47298,33546968220.79222,33585421135.48735,35569435318.270935,36022617021.158066,0.0005325693981422958,2,10,0.00014435510342009037
6,40499675169.54714,42822490770.87643,39262405717.20347,36048133335.82862,34015161495.76196,33294159601.41447,31903286452.85904,33417406160.864582,32802198172.24477,32484303872.683044,32611972073.943813,31603702784.911205,32368180613.716022,33428392904.485455,32798709955.833145,34844330154.63805,0.0015643222686236343,2,10,0.00014435510342009037
7,31654972596.302776,31917762010.180206,30487597802.17001,31757699536.320484,31775485841.286896,34505081647.85699,33711716904.38479,33535579533.064568,32469769453.401596,32090363350.221603,33223269149.521282,34903488582.58612,35860503540.70735,36468908629.188484,40702371801.34088,46382763794.25436,0.0021749788441278862,2,10,0.00014435510342009037
8,28115763625.36946,27124800053.301903,30157974183.78373,28309587915.651405,29112145451.989204,31444766317.54666,27653478511.869858,27764243381.442833,29340328285.16565,29821272078.839314,28920006125.167732,28085273279.976906,30921925100.735504,29046859450.274216,27705725147.49625,24062672416.562782,0.0007207600830249353,2,10,0.00014435510342009037
9,28820885732.15709,32579334975.551636,36568613397.24324,42412765859.746796,36590761462.95837,39016070107.70732,41559666714.40166,42752864275.3666,48246303062.018715,48434165521.80282,46534533504.100266,34448408764.31079,38102025724.539375,43629373822.12613,45464027916.25214,47304785625.51772,0.004345825100366227,2,10,0.00014435510342009037
0,36513229889.48339,35623441847.83725,34839286848.8133,34163942432.494976,33713807741.576607,33298414151.878223,33193692215.981144,33114888366.420364,33152786591.241627,33278327132.097336,33588072700.606625,33812819883.547592,34111883608.886723,34640145181.603806,35371924761.55671,36317128291.99424,0.00020293360687527836,3,10,0.0005887338417305478
1,36171486482.11399,35570916241.17296,34836625549.789154,34202444568.83148,33802529175.534332,33700944041.78405,33489601610.028027,33330377846.971985,33563258859.929558,33378624877.95611,33207141583.177433,33812035784.23374,33909849917.71447,34497028536.1938,35028636320.42844,35822526869.84818,0.00014143093714410053,3,10,0.0005887338417305478
