CPA ID 6,CPA label 6,CPA ID 4,CPA ID 3,CPA ID 2,CPA label 4,CPA label 3,CPA label 2,CPA ID 1
107219,Other dry or preserved bakers' wares,1072,107,10,Rusks and biscuits; preserved pastry goods and cakes,Bakery and farinaceous products,Food products,C
107299,Sub-contracted operations as part of manufacturing of rusks and biscuits; preserved pastry goods and cakes,1072,107,10,Rusks and biscuits; preserved pastry goods and cakes,Bakery and farinaceous products,Food products,C
107311,"Macaroni, noodles and similar farinaceous products",1073,107,10,"Macaroni, noodles, couscous and similar farinaceous products",Bakery and farinaceous products,Food products,C
107312,Couscous,1073,107,10,"Macaroni, noodles, couscous and similar farinaceous products",Bakery and farinaceous products,Food products,C
107399,"Sub-contracted operations as part of manufacturing of macaroni, noodles, couscous and similar farinaceous products",1073,107,10,"Macaroni, noodles, couscous and similar farinaceous products",Bakery and farinaceous products,Food products,C
108111,"Raw cane or beet sugar, in solid form",1081,108,10,Sugar,Other food products,Food products,C
108112,"Refined cane or beet sugar and chemically pure sucrose, in solid form, not containing added flavouring or colouring matter",1081,108,10,Sugar,Other food products,Food products,C
108113,"Refined cane or beet sugar, containing added flavouring or colouring matter; maple sugar and maple syrup",1081,108,10,Sugar,Other food products,Food products,C
108114,Molasses,1081,108,10,Sugar,Other food products,Food products,C
108120,"Beet-pulp, bagasse and other waste of sugar manufacture",1081,108,10,Sugar,Other food products,Food products,C
108199,Sub-contracted operations as part of manufacturing of sugar,1081,108,10,Sugar,Other food products,Food products,C
108211,"Cocoa paste, whether or not defatted",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108212,"Cocoa butter, fat and oil",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108213,"Cocoa powder, not containing added sugar or other sweetening matter",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108214,"Cocoa powder, containing added sugar or other sweetening matter",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108221,"Chocolate and food preparations containing cocoa (except sweetened cocoa powder), in bulk forms",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108222,"Chocolate and food preparations containing cocoa (except sweetened cocoa powder), other than in bulk forms",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108223,"Sugar confectionery (including white chocolate), not containing cocoa",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108224,"Fruit, nuts, fruit-peel and other parts of plants, preserved by sugar",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108230,"Cocoa shells, husks, skins and other cocoa waste",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108299,"Sub-contracted operations as part of manufacturing of cocoa, chocolate and sugar confectionery",1082,108,10,"Cocoa, chocolate and sugar confectionery",Other food products,Food products,C
108311,"Coffee, decaffeinated or roasted",1083,108,10,Processed tea and coffee,Other food products,Food products,C
108312,"Coffee substitutes; extracts, essences and concentrates of coffee or coffee substitutes; coffee husks and skins",1083,108,10,Processed tea and coffee,Other food products,Food products,C
108313,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content ≤ 3 kg",1083,108,10,Processed tea and coffee,Other food products,Food products,C
108314,"Extracts, essences, concentrates and preparations of tea or maté",1083,108,10,Processed tea and coffee,Other food products,Food products,C
108315,Herb infusions,1083,108,10,Processed tea and coffee,Other food products,Food products,C
108399,Sub-contracted operations as part of manufacturing of coffee and tea,1083,108,10,Processed tea and coffee,Other food products,Food products,C
108411,Vinegar and substitutes for vinegar obtained from acetic acid,1084,108,10,Condiments and seasonings,Other food products,Food products,C
108412,Sauces; mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard,1084,108,10,Condiments and seasonings,Other food products,Food products,C
108421,"Pepper (piper spp.), processed",1084,108,10,Condiments and seasonings,Other food products,Food products,C
108422,"Chillies and peppers, dry (capsicum spp.), processed",1084,108,10,Condiments and seasonings,Other food products,Food products,C
108423,"Cinnamon (canella), processed; other processed spices",1084,108,10,Condiments and seasonings,Other food products,Food products,C
108430,Food-grade salt,1084,108,10,Condiments and seasonings,Other food products,Food products,C
108499,Sub-contracted operations as part of manufacturing of condiments and seasonings,1084,108,10,Condiments and seasonings,Other food products,Food products,C
108511,"Prepared meals and dishes based on meat, meat offal or blood",1085,108,10,Prepared meals and dishes,Other food products,Food products,C
108512,"Prepared meals and dishes based on fish, crustaceans and molluscs",1085,108,10,Prepared meals and dishes,Other food products,Food products,C
108513,Prepared meals and dishes based on vegetables,1085,108,10,Prepared meals and dishes,Other food products,Food products,C
108514,Prepared meals and dishes based on pasta,1085,108,10,Prepared meals and dishes,Other food products,Food products,C
108519,Other prepared dishes and meals (including frozen pizza),1085,108,10,Prepared meals and dishes,Other food products,Food products,C
108599,Sub-contracted operations as part of manufacturing of prepared meals and dishes,1085,108,10,Prepared meals and dishes,Other food products,Food products,C
108610,Homogenised food preparations and dietetic food,1086,108,10,Homogenised food preparations and dietetic food,Other food products,Food products,C
108699,Sub-contracted operations as part of manufacturing of homogenised food preparations and dietetic food,1086,108,10,Homogenised food preparations and dietetic food,Other food products,Food products,C
108911,Soups and broths and preparations thereof,1089,108,10,Other food products n.e.c.,Other food products,Food products,C
108912,"Eggs, not in shell, and eggs yolks fresh or preserved; eggs in shells preserved or cooked; egg albumin",1089,108,10,Other food products n.e.c.,Other food products,Food products,C
108913,"Yeasts (active or inactive); other single-cell micro-organisms, dead; prepared baking powders",1089,108,10,Other food products n.e.c.,Other food products,Food products,C
108914,"Extracts and juices of meat, fish and aquatic invertebrates",1089,108,10,Other food products n.e.c.,Other food products,Food products,C
108915,Vegetable saps and extracts; peptic substances; mucilages and thickeners,1089,108,10,Other food products n.e.c.,Other food products,Food products,C
108919,Miscellaneous food products n.e.c.,1089,108,10,Other food products n.e.c.,Other food products,Food products,C
108999,Sub-contracted operations as part of manufacturing of other food products n.e.c.,1089,108,10,Other food products n.e.c.,Other food products,Food products,C
109110,"Prepared feeds for farm animals, except lucerne meal and pellets",1091,109,10,Prepared feeds for farm animals,Prepared animal feeds,Food products,C
109120,Lucerne (alfalfa) meal and pellets,1091,109,10,Prepared feeds for farm animals,Prepared animal feeds,Food products,C
109199,Sub-contracted operations as part of manufacturing of prepared feeds for farm animals,1091,109,10,Prepared feeds for farm animals,Prepared animal feeds,Food products,C
109210,Prepared pet foods,1092,109,10,Prepared pet foods,Prepared animal feeds,Food products,C
109299,Sub-contracted operations as part of manufacturing of prepared pet foods,1092,109,10,Prepared pet foods,Prepared animal feeds,Food products,C
139111,"Pile fabrics, terry fabrics, knitted or crocheted",1391,139,13,Knitted and crocheted fabrics,Other textiles,Textiles,C
139119,"Other knitted or crocheted fabrics, including imitation fur by knitting",1391,139,13,Knitted and crocheted fabrics,Other textiles,Textiles,C
139199,Sub-contracted operations as part of manufacturing of knitted or crocheted fabrics,1391,139,13,Knitted and crocheted fabrics,Other textiles,Textiles,C
139211,"Blankets and travelling rugs, except electric blankets",1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139212,Bed linen,1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139213,Table linen,1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139214,Toilet and kitchen linen,1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
139215,Curtains (including drapes) and interior blinds; curtain or bed valances,1392,139,13,"Made-up textile articles, except apparel",Other textiles,Textiles,C
